iter	Passed	Remaining
0	74	74445
1	75	37490
2	75	25104
3	76	19004
4	76	15289
5	77	12840
6	78	11088
7	78	9762
8	79	8732
9	79	7912
10	80	7225
11	80	6659
12	84	6432
13	85	6021
14	86	5653
15	86	5341
16	87	5074
17	88	4813
18	88	4582
19	89	4373
20	89	4183
21	90	4008
22	90	3854
23	91	3708
24	92	3588
25	92	3465
26	93	3360
27	94	3294
28	96	3225
29	96	3128
30	97	3036
31	97	2954
32	98	2875
33	98	2798
34	98	2726
35	99	2661
36	99	2597
37	100	2551
38	101	2505
39	102	2469
40	103	2415
41	103	2367
42	104	2319
43	104	2274
44	105	2229
45	106	2201
46	106	2160
47	108	2160
48	109	2120
49	112	2131
50	112	2097
51	113	2064
52	113	2031
53	114	2001
54	114	1972
55	115	1941
56	115	1917
57	116	1891
58	116	1865
59	117	1842
60	117	1816
61	120	1830
62	121	1805
63	121	1780
64	122	1759
65	122	1737
66	125	1750
67	127	1745
68	130	1759
69	130	1738
70	131	1716
71	132	1709
72	133	1690
73	133	1675
74	134	1657
75	136	1654
76	136	1640
77	137	1623
78	137	1608
79	139	1603
80	140	1590
81	140	1575
82	141	1568
83	142	1551
84	142	1538
85	144	1535
86	145	1526
87	145	1512
88	146	1497
89	146	1482
90	148	1481
91	148	1467
92	149	1453
93	149	1441
94	150	1430
95	151	1427
96	152	1421
97	153	1408
98	154	1406
99	154	1394
100	155	1382
101	157	1384
102	157	1372
103	157	1361
104	158	1350
105	158	1339
106	159	1328
107	159	1318
108	159	1307
109	160	1298
110	161	1289
111	161	1284
112	162	1274
113	162	1264
114	163	1254
115	163	1246
116	163	1236
117	164	1227
118	164	1218
119	165	1210
120	165	1201
121	165	1192
122	165	1183
123	166	1174
124	167	1169
125	167	1162
126	167	1154
127	168	1146
128	168	1139
129	169	1132
130	169	1126
131	170	1118
132	170	1112
133	170	1105
134	171	1098
135	171	1092
136	172	1087
137	172	1080
138	173	1073
139	173	1066
140	173	1059
141	174	1055
142	175	1049
143	175	1042
144	175	1035
145	175	1029
146	178	1033
147	178	1026
148	178	1020
149	179	1015
150	179	1009
151	179	1002
152	180	996
153	182	1001
154	182	996
155	184	996
156	184	990
157	185	985
158	185	981
159	185	976
160	186	970
161	186	965
162	187	960
163	187	954
164	187	949
165	188	945
166	188	941
167	188	935
168	189	933
169	190	928
170	190	923
171	190	918
172	191	914
173	191	909
174	192	905
175	192	901
176	192	897
177	193	892
178	193	888
179	194	884
180	194	879
181	194	874
182	195	871
183	195	866
184	195	862
185	196	858
186	196	853
187	196	850
188	197	846
189	197	842
190	197	838
191	198	834
192	198	830
193	199	827
194	200	825
195	200	822
196	200	818
197	201	815
198	204	823
199	204	819
200	205	816
201	205	812
202	206	808
203	206	805
204	206	801
205	207	798
206	207	794
207	207	791
208	208	788
209	209	787
210	209	783
211	209	780
212	210	776
213	210	773
214	210	769
215	211	767
216	211	764
217	212	760
218	212	757
219	212	755
220	213	752
221	213	749
222	214	746
223	214	743
224	214	740
225	215	737
226	215	734
227	215	731
228	216	728
229	216	725
230	217	723
231	218	723
232	218	720
233	220	722
234	221	719
235	221	717
236	222	714
237	222	712
238	223	710
